GEOID,Municipality,County
1701010,Alsip,Cook
1702154,Arlington Heights,Cook/Lake
1703844,Barrington,Cook/Lake
1703883,Barrington Hills,Cook
1704013,Bartlett,Cook/Kane/DuPage
1704572,Bedford Park,Cook
1704975,Bellwood,Cook
1705404,Berkeley,Cook
1705573,Berwyn,Cook
1706704,Blue Island,Cook
1708225,Bridgeview,Cook
1708446,Broadview,Cook
1708576,Brookfield,Cook
1709447,Buffalo Grove,Cook/Lake
1709642,Burbank,Cook
1709798,Burnham,Cook
1710487,Calumet City,Cook
1710513,Calumet Park,Cook
1714000,Chicago,Cook/DuPage
1714026,Chicago Heights,Cook
1714065,Chicago Ridge,Cook
1714351,Cicero,Cook
1716691,Country Club Hills,Cook
1716873,Countryside,Cook
1717497,Crestwood,Cook
1719083,Deer Park,Cook/Lake
1718992,Deerfield,Cook/Lake
1719642,Des Plaines,Cook
1720149,Dixmoor,Cook
1720292,Dolton,Cook
1721696,East Dundee,Cook/Kane
1721904,East Hazel Crest,Cook
1723074,Elgin,Cook/Kane
1723256,Elk Grove Village,Cook/DuPage
1723620,Elmhurst,Cook/DuPage
1723724,Elmwood Park,Cook
1724582,Evanston,Cook
1724634,Evergreen Park,Cook
1726571,Flossmoor,Cook
1726710,Ford Heights,Cook
1726935,Forest Park,Cook
1726987,Forest View,Cook
1727624,Frankfort,Cook/Will
1727702,Franklin Park,Cook
1729652,Glencoe,Cook
1729938,Glenview,Cook
1730029,Glenwood,Cook
1730328,Golf,Cook
1732746,Hanover Park,Cook/DuPage
1733383,Harvey,Cook
1733435,Harwood Heights,Cook
1733695,Hazel Crest,Cook
1734514,Hickory Hills,Cook
1735086,Hillside,Cook
1735307,Hinsdale,Cook/DuPage
1735385,Hodgkins,Cook
1735411,Hoffman Estates,Cook
1735866,Hometown,Cook
1735879,Homewood,Cook
1737257,Indian Head Park,Cook
1737608,Inverness,Cook
1738830,Justice,Cook
1739519,Kenilworth,Cook
1740767,La Grange,Cook
1740793,La Grange Park,Cook
1742028,Lansing,Cook
1742795,Lemont,Cook/DuPage/Will
1743744,Lincolnwood,Cook
1745421,Lynwood,Cook
1745434,Lyons,Cook
1747007,Markham,Cook
1747540,Matteson,Cook
1747774,Maywood,Cook
1745564,McCook,Cook
1748242,Melrose Park,Cook
1748554,Merrionette Park,Cook
1748892,Midlothian,Cook
1750647,Morton Grove,Cook
1751089,Mount Prospect,Cook
1753000,Niles,Cook
1753377,Norridge,Cook
1754144,North Riverside,Cook
1753481,Northbrook,Cook
1753663,Northfield,Cook
1753871,Northlake,Cook
1754534,Oak Brook,Cook/DuPage
1754638,Oak Forest,Cook
1754820,Oak Lawn,Cook
1754885,Oak Park,Cook
1755938,Olympia Fields,Cook
1756627,Orland Hills,Cook
1756640,Orland Park,Cook/Will
1757225,Palatine,Cook
1757381,Palos Heights,Cook
1757394,Palos Hills,Cook
1757407,Palos Park,Cook
1757732,Park Forest,Cook/Will
1757875,Park Ridge,Cook
1759572,Phoenix,Cook
1761314,Posen,Cook
1762016,Prospect Heights,Cook
1763706,Richton Park,Cook
1764304,River Forest,Cook
1764343,River Grove,Cook
1764278,Riverdale,Cook
1764421,Riverside,Cook
1764616,Robbins,Cook
1765338,Rolling Meadows,Cook
1765806,Roselle,Cook/DuPage
1765819,Rosemont,Cook
1767769,Sauk Village,Cook/Will
1768003,Schaumburg,Cook
1768081,Schiller Park,Cook
1770122,Skokie,Cook
1770564,South Barrington,Cook
1770629,South Chicago Heights,Cook
1770850,South Holland,Cook
1772520,Steger,Cook/Will
1772676,Stickney,Cook
1772923,Stone Park,Cook
1773157,Streamwood,Cook
1773638,Summit,Cook
1775185,Thornton,Cook
1775484,Tinley Park,Cook/Will
1776935,University Park,Cook/Will
1780047,Westchester,Cook
1780242,Western Springs,Cook
1781087,Wheeling,Cook
1782075,Wilmette,Cook
1782530,Winnetka,Cook
1783518,Worth,Cook
