MUNI,INC_SCORE,TBPC_SCORE,TB_SCORE,POP_SCORE,FINAL_SCORE,COHORT
Addison,6,15,15,15,61.5,1
Algonquin,16,14,15,15,75.0,1
Alsip,4,12,12,12,48.0,2
Antioch,11,13,10,10,56.0,1
Arlington Heights,14,15,18,18,79.5,1
Aurora,8,7,18,18,58.5,1
Bannockburn,19,20,7,2,70.0,1
Barrington,18,20,13,8,80.5,1
Barrington Hills,20,20,9,4,75.5,1
Bartlett,16,8,14,16,65.0,1
Batavia,14,15,14,14,71.5,1
Beach Park,10,3,6,10,33.5,3
Bedford Park,8,20,11,1,59.0,1
Beecher,8,8,4,5,32.5,3
Bellwood,5,2,7,12,27.0,3
Bensenville,7,16,13,11,59.5,1
Berkeley,8,4,4,5,26.5,3
Berwyn,6,3,13,17,41.5,2
Big Rock,12,15,3,2,46.0,2
Bloomingdale,11,17,15,12,70.5,1
Blue Island,1,2,8,13,23.0,4
Bolingbrook,12,12,17,17,70.0,1
Braceville,7,4,1,1,18.5,4
Braidwood,7,5,4,6,27.0,3
Bridgeview,5,16,13,11,56.5,1
Broadview,4,14,8,7,42.5,2
Brookfield,11,5,8,12,42.0,2
Buffalo Grove,17,15,16,16,80.0,1
Bull Valley,19,10,2,2,47.5,2
Burbank,5,6,11,14,40.0,3
Burlington,10,7,1,1,27.5,3
Burnham,1,1,2,4,8.0,4
Burr Ridge,19,20,13,9,82.5,1
Calumet City,1,5,12,15,34.5,3
Calumet Park,2,3,4,7,17.0,4
Campton Hills,19,11,9,9,63.0,1
Carol Stream,10,12,15,16,63.5,1
Carpentersville,7,5,12,16,44.0,2
Cary,16,8,10,11,56.5,1
Channahon,14,9,8,9,51.0,2
Chicago,4,10,20,20,61.0,1
Chicago Heights,2,3,9,15,28.5,3
Chicago Ridge,2,11,10,10,39.5,3
Cicero,2,2,14,18,36.0,3
Clarendon Hills,18,17,10,8,71.5,1
Coal City,9,7,5,5,34.0,3
Country Club Hills,6,3,7,11,29.5,3
Countryside,4,20,12,6,57.0,1
Crest Hill,5,7,10,12,39.0,3
Crestwood,4,17,11,9,52.5,2
Crete,9,7,6,7,36.5,3
Crystal Lake,12,15,16,16,72.5,1
Darien,12,14,13,13,65.0,1
Deer Park,20,20,8,4,74.0,1
Deerfield,20,19,15,11,86.5,1
Des Plaines,8,15,17,17,68.5,1
Diamond,5,6,3,3,22.5,4
Dixmoor,1,1,2,4,8.0,4
Dolton,2,2,8,13,24.5,4
Downers Grove,13,17,17,16,78.5,1
East Dundee,9,18,6,4,51.5,2
East Hazel Crest,6,3,1,2,16.0,4
Elburn,16,13,7,6,57.0,1
Elgin,8,9,18,18,61.5,1
Elk Grove Village,10,19,17,15,76.5,1
Elmhurst,17,17,17,16,84.5,1
Elmwood Park,5,6,10,13,38.0,3
Elwood,9,6,2,3,27.0,3
Evanston,10,13,17,18,69.0,1
Evergreen Park,8,12,12,12,54.0,2
Flossmoor,16,8,7,8,50.5,2
Ford Heights,0,0,1,3,3.0,4
Forest Park,5,12,10,10,45.5,2
Forest View,7,20,4,1,47.0,2
Fox Lake,6,15,10,9,51.0,2
Fox River Grove,16,10,5,5,49.0,2
Frankfort,19,18,14,11,82.0,1
Franklin Park,6,13,12,11,52.0,2
Geneva,17,17,14,12,78.0,1
Gilberts,17,7,6,7,48.5,2
Glen Ellyn,17,16,15,14,79.0,1
Glencoe,20,20,13,8,83.5,1
Glendale Heights,7,10,14,15,54.0,2
Glenview,17,19,18,16,89.0,1
Glenwood,6,3,4,8,23.5,4
Godley,5,0,0,1,8.0,4
Golf,20,18,2,1,60.5,1
Grayslake,13,9,11,12,55.5,1
Green Oaks,20,18,8,4,71.0,1
Greenwood,13,4,0,0,25.5,3
Gurnee,14,18,16,15,79.5,1
Hainesville,13,6,3,4,35.0,3
Hampshire,16,11,6,6,52.5,2
Hanover Park,9,8,13,16,53.0,2
Harvard,4,5,6,8,26.5,3
Harvey,0,1,7,14,19.0,4
Harwood Heights,5,13,8,8,43.0,2
Hawthorn Woods,20,15,9,7,69.5,1
Hazel Crest,5,2,5,10,23.0,4
Hebron,4,5,1,2,16.0,4
Hickory Hills,8,9,9,10,44.0,2
Highland Park,20,20,17,15,93.0,1
Highwood,5,10,5,5,32.5,3
Hillside,4,16,9,7,47.0,2
Hinsdale,20,20,15,11,88.0,1
