CCA_NAME,FINAL_SCORE,COHORT
Albany Park,30,3
Archer Heights,10,4
Armour Square,0,4
Ashburn,40,3
Auburn Gresham,0,4
Austin,0,4
Avalon Park,5,4
Avondale,15,4
Belmont Cragin,15,4
Beverly,70,1
Bridgeport,10,4
Brighton Park,5,4
Burnside,0,4
Calumet Heights,15,4
Chatham,0,4
Chicago Lawn,0,4
Clearing,35,3
Douglas,0,4
Dunning,40,3
East Garfield Park,0,4
East Side,5,4
Edgewater,15,4
Edison Park,80,1
Englewood,0,4
Forest Glen,90,1
Fuller Park,0,4
Gage Park,5,4
Garfield Ridge,45,2
Grand Boulevard,0,4
Greater Grand Crossing,0,4
Hegewisch,25,4
Hermosa,5,4
Humboldt Park,5,4
Hyde Park,20,4
Irving Park,30,3
Jefferson Park,45,2
Kenwood,10,4
Lake View,65,1
Lincoln Park,80,1
Lincoln Square,45,2
Logan Square,45,2
Lower West Side,5,4
McKinley Park,10,4
Montclare,15,4
Morgan Park,30,3
Mount Greenwood,75,1
Near North Side,75,1
Near South Side,75,1
Near West Side,55,2
New City,0,4
North Center,85,1
North Lawndale,0,4
North Park,25,4
Norwood Park,50,2
Oakland,0,4
O'Hare,15,4
Portage Park,35,3
Pullman,5,4
Riverdale,0,4
Rogers Park,5,4
Roseland,5,4
South Chicago,0,4
South Deering,0,4
South Lawndale,0,4
South Shore,0,4
The Loop,80,1
Uptown,15,4
Washington Heights,10,4
Washington Park,0,4
West Elsdon,25,4
West Englewood,0,4
West Garfield Park,0,4
West Lawn,15,4
West Pullman,5,4
West Ridge,15,4
West Town,70,1
Woodlawn,0,4
