CCA_ID,CCA_NAME,COHORT,WEIGHTED_SCORE,SCORE_ln_POP,SCORE_ln_TAX_BASE_PER_CAP,SCORE_ln_MED_HH_INC,SCORE_PCT_DA_POP
14,Albany Park,2,58.333333333333336,10,2,4,9
57,Archer Heights,2,55.55555555555556,10,2,2,10
34,Armour Square,2,50,10,3,1,8
70,Ashburn,2,50,10,2,3,7
71,Auburn Gresham,4,36.11111111111111,10,1,1,5
25,Austin,3,38.88888888888889,10,1,1,6
45,Avalon Park,2,52.77777777777778,10,2,1,10
21,Avondale,1,66.66666666666666,10,3,5,10
19,Belmont Cragin,3,44.44444444444444,10,2,2,6
72,Beverly,1,75,10,3,8,10
60,Bridgeport,2,61.111111111111114,10,3,3,10
58,Brighton Park,3,38.88888888888889,10,1,1,6
47,Burnside,2,52.77777777777778,10,2,1,10
48,Calumet Heights,2,55.55555555555556,10,2,2,10
44,Chatham,3,38.88888888888889,10,2,1,5
66,Chicago Lawn,4,30.555555555555557,10,1,1,3
64,Clearing,2,58.333333333333336,10,2,3,10
35,Douglas,2,47.22222222222222,10,2,1,8
17,Dunning,2,58.333333333333336,10,3,4,8
27,East Garfield Park,4,33.33333333333333,10,1,1,4
52,East Side,4,27.77777777777778,10,1,2,1
77,Edgewater,2,58.333333333333336,10,3,2,10
9,Edison Park,1,77.77777777777779,10,4,8,10
68,Englewood,4,25,10,1,1,1
12,Forest Glen,1,80.55555555555556,10,5,8,10
37,Fuller Park,4,27.77777777777778,10,2,1,1
63,Gage Park,4,25,10,1,1,1
56,Garfield Ridge,2,58.333333333333336,10,2,5,8
38,Grand Boulevard,3,41.66666666666667,10,2,1,6
69,Greater Grand Crossing,4,36.11111111111111,10,1,1,5
55,Hegewisch,2,52.77777777777778,10,2,1,10
20,Hermosa,2,50,10,2,2,8
23,Humboldt Park,3,41.66666666666667,10,2,1,6
41,Hyde Park,2,58.333333333333336,10,3,2,10
16,Irving Park,2,63.888888888888886,10,3,4,10
11,Jefferson Park,2,58.333333333333336,10,3,5,7
39,Kenwood,3,41.66666666666667,10,3,2,4
6,Lake View,1,75,10,5,6,10
7,Lincoln Park,1,86.11111111111111,10,7,8,10
4,Lincoln Square,1,69.44444444444444,10,4,5,10
22,Logan Square,1,72.22222222222221,10,4,6,10
31,Lower West Side,2,50,10,3,2,7
59,McKinley Park,2,52.77777777777778,10,2,3,8
18,Montclare,2,47.22222222222222,10,2,3,6
75,Morgan Park,2,50,10,2,3,7
74,Mount Greenwood,2,50,10,3,7,2
8,Near North Side,1,91.66666666666666,10,10,7,10
33,Near South Side,1,86.11111111111111,10,7,8,10
28,Near West Side,1,80.55555555555556,10,8,6,9
61,New City,3,38.88888888888889,10,1,1,6
5,North Center,1,86.11111111111111,10,6,9,10
29,North Lawndale,4,33.33333333333333,10,1,1,4
13,North Park,2,61.111111111111114,10,3,3,10
10,Norwood Park,2,61.111111111111114,10,3,6,7
36,Oakland,4,27.77777777777778,10,2,1,1
76,O'Hare,2,61.111111111111114,10,3,3,10
15,Portage Park,2,58.333333333333336,10,3,4,8
50,Pullman,3,41.66666666666667,10,2,1,6
54,Riverdale,4,25,10,1,1,1
1,Rogers Park,2,47.22222222222222,10,2,1,8
49,Roseland,4,33.33333333333333,10,1,1,4
46,South Chicago,4,33.33333333333333,10,1,1,4
51,South Deering,2,50,10,1,1,10
30,South Lawndale,4,33.33333333333333,10,1,1,4
43,South Shore,3,38.88888888888889,10,1,1,6
32,The Loop,1,91.66666666666666,10,10,7,10
3,Uptown,2,58.333333333333336,10,3,2,10
73,Washington Heights,4,36.11111111111111,10,2,2,3
40,Washington Park,4,33.33333333333333,10,1,1,4
62,West Elsdon,4,36.11111111111111,10,2,2,3
67,West Englewood,4,33.33333333333333,10,1,1,4
26,West Garfield Park,4,33.33333333333333,10,1,1,4
65,West Lawn,3,41.66666666666667,10,2,3,4
53,West Pullman,4,27.77777777777778,10,1,1,2
2,West Ridge,2,55.55555555555556,10,2,2,10
24,West Town,1,80.55555555555556,10,5,8,10
42,Woodlawn,4,33.33333333333333,10,1,1,4
