GEOID,MUNI,COHORT,WEIGHTED_SCORE,SCORE_ln_POP,SCORE_ln_TAX_BASE_PER_CAP,SCORE_ln_MED_HH_INC,SCORE_PCT_EDA_POP
1700243,Addison,2,52.77777777777778,8,7,3,5
1700685,Algonquin,1,80.55555555555556,8,7,8,10
1701010,Alsip,2,58.333333333333336,7,6,2,10
1701595,Antioch,1,66.66666666666666,6,6,6,10
1702154,Arlington Heights,1,80.55555555555556,10,7,7,9
1703012,Aurora,2,47.22222222222222,10,3,4,4
1703610,Bannockburn,1,72.22222222222221,1,10,9,10
1703844,Barrington,1,83.33333333333334,5,10,9,10
1703883,Barrington Hills,1,77.77777777777779,3,9,10,10
1704013,Bartlett,1,72.22222222222221,9,4,8,9
1704078,Batavia,1,77.77777777777779,8,7,7,10
1704303,Beach Park,2,52.77777777777778,6,2,5,10
1704572,Bedford Park,2,58.333333333333336,1,10,4,10
1704585,Beecher,2,47.22222222222222,3,4,4,10
1704975,Bellwood,4,25,7,1,3,2
1705248,Bensenville,2,61.111111111111114,7,8,3,8
1705404,Berkeley,3,41.66666666666667,3,2,4,10
1705573,Berwyn,4,36.11111111111111,9,2,3,3
1705976,Big Rock,2,58.333333333333336,1,7,7,10
1706587,Bloomingdale,1,72.22222222222221,7,8,6,9
1706704,Blue Island,4,16.666666666666664,7,1,1,1
1707133,Bolingbrook,1,72.22222222222221,10,6,6,8
1707640,Braceville,4,33.33333333333333,1,2,3,10
1707770,Braidwood,2,47.22222222222222,4,3,4,10
1708225,Bridgeview,2,55.55555555555556,6,8,2,8
1708446,Broadview,4,36.11111111111111,4,7,2,4
1708576,Brookfield,3,41.66666666666667,7,3,6,3
1709447,Buffalo Grove,1,86.11111111111111,9,7,9,10
1709531,Bull Valley,2,63.888888888888886,1,7,9,10
1709642,Burbank,3,38.88888888888889,8,3,3,4
1709759,Burlington,2,47.22222222222222,1,4,6,10
1709798,Burnham,4,5.555555555555555,3,1,1,1
1709980,Burr Ridge,1,86.11111111111111,5,10,10,10
1710487,Calumet City,4,25,8,3,1,1
1710513,Calumet Park,4,25,4,2,2,5
1710906,Campton Hills,1,75,5,6,10,10
1711332,Carol Stream,1,72.22222222222221,9,6,6,9
1711358,Carpentersville,3,38.88888888888889,9,3,3,3
1711592,Cary,1,69.44444444444444,7,4,8,10
1712476,Channahon,2,63.888888888888886,6,4,7,10
1714000,Chicago,2,47.22222222222222,10,5,2,4
1714026,Chicago Heights,4,27.77777777777778,8,2,2,2
1714065,Chicago Ridge,3,38.88888888888889,6,6,1,5
1714351,Cicero,4,27.77777777777778,10,2,1,1
1714572,Clarendon Hills,1,77.77777777777779,5,8,9,10
1715170,Coal City,2,50,3,4,5,10
1716691,Country Club Hills,3,38.88888888888889,7,2,3,6
1716873,Countryside,2,61.111111111111114,4,10,2,10
1717458,Crest Hill,2,50,7,3,2,10
1717497,Crestwood,2,55.55555555555556,5,8,2,9
1717523,Crete,2,52.77777777777778,5,3,5,10
1717887,Crystal Lake,1,77.77777777777779,9,7,6,10
1718628,Darien,1,75,7,7,7,10
1719083,Deer Park,1,77.77777777777779,3,9,10,10
1718992,Deerfield,1,88.88888888888889,7,9,10,10
1719642,Des Plaines,1,69.44444444444444,9,7,4,9
1719837,Diamond,3,38.88888888888889,2,3,3,10
1720149,Dixmoor,4,5.555555555555555,3,1,1,1
1720292,Dolton,4,16.666666666666664,7,1,1,1
1720591,Downers Grove,1,83.33333333333334,9,8,7,10
1721696,East Dundee,2,55.55555555555556,2,8,4,10
1721904,East Hazel Crest,4,33.33333333333333,1,2,3,10
1722931,Elburn,1,66.66666666666666,4,6,8,10
1723074,Elgin,2,52.77777777777778,10,4,4,5
1723256,Elk Grove Village,1,77.77777777777779,8,9,5,10
1723620,Elmhurst,1,86.11111111111111,9,8,8,10
1723724,Elmwood Park,3,44.44444444444444,8,3,3,6
1723945,Elwood,3,44.44444444444444,2,3,5,10
1724582,Evanston,1,75,10,6,5,10
1724634,Evergreen Park,2,58.333333333333336,7,6,4,8
1726571,Flossmoor,2,63.888888888888886,5,4,8,10
1726710,Ford Heights,4,2.7777777777777777,2,1,1,1
1726935,Forest Park,2,58.333333333333336,6,6,3,10
1726987,Forest View,2,55.55555555555556,1,10,3,10
1727442,Fox Lake,2,58.333333333333336,5,7,3,10
1727533,Fox River Grove,2,61.111111111111114,3,5,8,10
1727624,Frankfort,1,83.33333333333334,7,8,9,10
