CCA_ID,CCA_NAME,WEIGHTED_SCORE_3YR,COHORT_3YR
14,Albany Park,49.382716049382715,2
57,Archer Heights,39.50617283950617,3
34,Armour Square,43.20987654320987,3
70,Ashburn,46.913580246913575,2
71,Auburn Gresham,37.03703703703704,3
25,Austin,37.03703703703704,3
45,Avalon Park,40.74074074074074,3
21,Avondale,55.555555555555564,2
19,Belmont Cragin,41.97530864197531,3
72,Beverly,71.60493827160494,1
60,Bridgeport,49.382716049382715,2
58,Brighton Park,37.03703703703704,3
47,Burnside,39.50617283950617,3
48,Calumet Heights,44.444444444444436,3
44,Chatham,38.2716049382716,3
66,Chicago Lawn,34.5679012345679,4
64,Clearing,44.444444444444436,3
35,Douglas,38.2716049382716,3
17,Dunning,54.32098765432099,2
27,East Garfield Park,37.03703703703704,3
52,East Side,38.2716049382716,3
77,Edgewater,48.14814814814815,2
9,Edison Park,76.54320987654322,1
68,Englewood,35.80246913580247,4
12,Forest Glen,82.71604938271605,1
37,Fuller Park,38.2716049382716,3
63,Gage Park,34.5679012345679,4
56,Garfield Ridge,58.02469135802469,2
38,Grand Boulevard,38.2716049382716,3
69,Greater Grand Crossing,37.03703703703704,3
55,Hegewisch,43.20987654320987,3
20,Hermosa,40.74074074074074,3
23,Humboldt Park,37.03703703703704,3
41,Hyde Park,48.148148148148145,2
16,Irving Park,55.55555555555555,2
11,Jefferson Park,59.25925925925926,2
39,Kenwood,44.444444444444436,3
6,Lake View,72.8395061728395,1
7,Lincoln Park,87.65432098765432,1
4,Lincoln Square,62.962962962962955,2
22,Logan Square,65.43209876543209,1
31,Lower West Side,46.913580246913575,2
59,McKinley Park,48.148148148148145,2
18,Montclare,43.20987654320987,3
75,Morgan Park,48.14814814814815,2
74,Mount Greenwood,66.66666666666666,1
8,Near North Side,92.5925925925926,1
33,Near South Side,83.95061728395062,1
28,Near West Side,80.24691358024693,1
61,New City,37.03703703703704,3
5,North Center,85.18518518518518,1
29,North Lawndale,37.03703703703704,3
13,North Park,49.382716049382715,2
10,Norwood Park,67.90123456790123,1
36,Oakland,38.2716049382716,3
76,O'Hare,55.55555555555555,2
15,Portage Park,54.32098765432099,2
50,Pullman,40.74074074074074,3
54,Riverdale,33.33333333333333,4
1,Rogers Park,39.50617283950617,3
49,Roseland,35.80246913580247,4
46,South Chicago,35.80246913580247,4
51,South Deering,38.2716049382716,3
30,South Lawndale,34.5679012345679,4
43,South Shore,35.80246913580247,4
32,The Loop,92.5925925925926,1
3,Uptown,48.14814814814815,2
73,Washington Heights,41.97530864197531,3
40,Washington Park,35.80246913580247,4
62,West Elsdon,41.97530864197531,3
67,West Englewood,34.5679012345679,4
26,West Garfield Park,35.80246913580247,4
65,West Lawn,43.20987654320987,3
53,West Pullman,35.80246913580247,4
2,West Ridge,43.20987654320987,3
24,West Town,79.01234567901234,1
42,Woodlawn,37.03703703703704,3
