GEOID,MUNI,WEIGHTED_SCORE_3YR,COHORT_3YR
1700243,Addison,53.7037037037037,2
1700685,Algonquin,80.55555555555556,1
1701010,Alsip,59.25925925925927,2
1701595,Antioch,68.51851851851852,1
1702154,Arlington Heights,80.55555555555556,1
1703012,Aurora,49.074074074074076,2
1703610,Bannockburn,71.29629629629629,1
1703844,Barrington,82.4074074074074,1
1703883,Barrington Hills,77.77777777777779,1
1704013,Bartlett,72.22222222222221,1
1704078,Batavia,77.77777777777779,1
1704303,Beach Park,50.925925925925924,2
1704572,Bedford Park,62.96296296296296,2
1704585,Beecher,50,2
1704975,Bellwood,24.074074074074076,4
1705248,Bensenville,60.18518518518519,2
1705404,Berkeley,40.74074074074075,3
1705573,Berwyn,36.11111111111111,4
1705976,Big Rock,56.48148148148149,2
1706587,Bloomingdale,72.22222222222221,1
1706704,Blue Island,17.59259259259259,4
1707133,Bolingbrook,73.14814814814815,1
1707640,Braceville,34.25925925925926,4
1707770,Braidwood,45.37037037037036,2
1708225,Bridgeview,53.7037037037037,2
1708446,Broadview,36.11111111111111,4
1708576,Brookfield,39.81481481481482,3
1709447,Buffalo Grove,86.11111111111113,1
1709531,Bull Valley,61.111111111111114,2
1709642,Burbank,39.81481481481482,3
1709759,Burlington,46.2962962962963,2
1709798,Burnham,5.5555555555555545,4
1709980,Burr Ridge,86.11111111111113,1
1710487,Calumet City,23.14814814814815,4
1710513,Calumet Park,23.14814814814815,4
1710906,Campton Hills,74.07407407407408,1
1711332,Carol Stream,71.29629629629629,1
1711358,Carpentersville,39.81481481481482,3
1711592,Cary,68.51851851851852,1
1712476,Channahon,63.888888888888886,2
1714000,Chicago,48.14814814814815,2
1714026,Chicago Heights,27.777777777777782,4
1714065,Chicago Ridge,37.96296296296296,3
1714351,Cicero,26.85185185185185,4
1714572,Clarendon Hills,75,1
1715170,Coal City,49.074074074074076,2
1716691,Country Club Hills,38.88888888888889,3
1716873,Countryside,62.96296296296296,2
1717458,Crest Hill,50,2
1717497,Crestwood,56.48148148148149,2
1717523,Crete,51.85185185185185,2
1717887,Crystal Lake,77.77777777777779,1
1718628,Darien,75,1
1719083,Deer Park,78.70370370370371,1
1718992,Deerfield,88.88888888888887,1
1719642,Des Plaines,69.44444444444444,1
1719837,Diamond,37.03703703703704,3
1720149,Dixmoor,5.5555555555555545,4
1720292,Dolton,16.666666666666664,4
1720591,Downers Grove,83.33333333333334,1
