GEOID,MUNI,SCORE_YEAR3,SCORE_YEAR2,SCORE_YEAR1,WEIGHTED_SCORE_3YR,COHORT_3YR
1700243,Addison,59.25925925925925,55.55555555555556,59.25925925925925,58.02469135802469,2
1700685,Algonquin,74.07407407407408,74.07407407407408,74.07407407407408,74.07407407407408,1
1701010,Alsip,44.44444444444444,44.44444444444444,44.44444444444444,44.444444444444436,3
1701595,Antioch,59.25925925925925,59.25925925925925,59.25925925925925,59.25925925925926,2
1702154,Arlington Heights,77.77777777777779,77.77777777777779,77.77777777777779,77.77777777777779,1
1703012,Aurora,55.55555555555556,55.55555555555556,55.55555555555556,55.555555555555564,2
1703610,Bannockburn,66.66666666666666,59.25925925925925,66.66666666666666,64.19753086419752,2
1703844,Barrington,77.77777777777779,74.07407407407408,77.77777777777779,76.5432098765432,1
1703883,Barrington Hills,70.37037037037037,70.37037037037037,70.37037037037037,70.37037037037037,1
1704013,Bartlett,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,1
1704078,Batavia,70.37037037037037,70.37037037037037,70.37037037037037,70.37037037037037,1
1704303,Beach Park,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333,4
1704572,Bedford Park,55.55555555555556,55.55555555555556,51.85185185185185,54.32098765432099,2
1704585,Beecher,37.03703703703704,37.03703703703704,37.03703703703704,37.03703703703704,3
1704975,Bellwood,29.629629629629626,29.629629629629626,29.629629629629626,29.62962962962963,4
1705248,Bensenville,51.85185185185185,51.85185185185185,51.85185185185185,51.85185185185185,2
1705404,Berkeley,22.22222222222222,22.22222222222222,22.22222222222222,22.222222222222218,4
1705573,Berwyn,40.74074074074074,40.74074074074074,40.74074074074074,40.74074074074074,3
1705976,Big Rock,37.03703703703704,44.44444444444444,44.44444444444444,41.97530864197531,3
1706587,Bloomingdale,66.66666666666666,66.66666666666666,62.96296296296296,65.43209876543209,1
1706704,Blue Island,22.22222222222222,25.925925925925924,22.22222222222222,23.456790123456788,4
1707133,Bolingbrook,70.37037037037037,70.37037037037037,70.37037037037037,70.37037037037037,1
1707640,Braceville,14.814814814814813,14.814814814814813,11.11111111111111,13.580246913580245,4
1707770,Braidwood,25.925925925925924,25.925925925925924,25.925925925925924,25.925925925925924,4
1708225,Bridgeview,48.148148148148145,48.148148148148145,48.148148148148145,48.148148148148145,2
1708446,Broadview,37.03703703703704,37.03703703703704,37.03703703703704,37.03703703703704,3
1708576,Brookfield,44.44444444444444,44.44444444444444,44.44444444444444,44.444444444444436,3
1709447,Buffalo Grove,77.77777777777779,81.48148148148148,77.77777777777779,79.01234567901236,1
1709531,Bull Valley,48.148148148148145,44.44444444444444,44.44444444444444,45.67901234567901,2
1709642,Burbank,44.44444444444444,44.44444444444444,44.44444444444444,44.444444444444436,3
1709759,Burlington,33.33333333333333,29.629629629629626,25.925925925925924,29.62962962962963,4
1709798,Burnham,7.4074074074074066,7.4074074074074066,7.4074074074074066,7.407407407407407,4
1709980,Burr Ridge,77.77777777777779,81.48148148148148,81.48148148148148,80.24691358024693,1
1710487,Calumet City,29.629629629629626,29.629629629629626,29.629629629629626,29.62962962962963,4
1710513,Calumet Park,11.11111111111111,14.814814814814813,14.814814814814813,13.580246913580245,4
1710906,Campton Hills,62.96296296296296,66.66666666666666,66.66666666666666,65.43209876543209,1
1711332,Carol Stream,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,1
1711358,Carpentersville,48.148148148148145,44.44444444444444,48.148148148148145,46.913580246913575,2
1711592,Cary,55.55555555555556,59.25925925925925,55.55555555555556,56.79012345679013,2
1712476,Channahon,59.25925925925925,51.85185185185185,51.85185185185185,54.32098765432098,2
1714000,Chicago,55.55555555555556,55.55555555555556,55.55555555555556,55.555555555555564,2
1714026,Chicago Heights,29.629629629629626,29.629629629629626,33.33333333333333,30.864197530864192,4
1714065,Chicago Ridge,37.03703703703704,33.33333333333333,37.03703703703704,35.80246913580247,4
1714351,Cicero,37.03703703703704,37.03703703703704,37.03703703703704,37.03703703703704,3
