Community Name,Median Income,Population,Tax Base Per Capita,Population in EDAs
Addison,58636,36724.000000000015,56676.10094216314,0.5749
Alsip,52431.99999999997,18879.999999999985,45815.083050847476,0.0218
Aurora,66847.99999999997,199601.9999999999,28448.606025991707,0.6746
Beach Park,75165.00000000001,13867.000000000005,17849.475589529105,0.0992
Bedford Park,65000.00000000002,601,1403753.7520798668,0
Beecher,67150.00000000003,4459.999999999998,31267.41614349776,0
Bensenville,61677.000000000044,18225.999999999993,63727.32173817624,0.2541
Big Rock,84464.00000000006,1142.0000000000005,58029.267075306496,0
Braidwood,62733.99999999996,6203.000000000003,24126.508141221984,0
Bridgeview,54198.000000000044,16186.999999999989,63089.864891579644,0.2922
Bull Valley,120313.00000000007,1098.9999999999998,53042.89808917202,0
Burlington,76145.99999999996,627.0000000000001,31520.478468899542,0
Channahon,88516.00000000001,13086.000000000007,33236.58772734219,0
Chicago,52497.00000000001,2705993.9999999995,38285.33380487908,0.6434
Coal City,72188.00000000003,5367.999999999998,30644.770119225028,0
Countryside,52892.000000000044,5954.0000000000055,164254.20322472276,0
Crest Hill,54198.000000000044,20568.000000000015,28007.354434072357,0
Crestwood,53908.99999999996,10769.999999999993,66717.18653667596,0.1465
Crete,70903.99999999999,8116.999999999997,28269.537513859785,0
East Dundee,67632.00000000001,3191.9999999999986,76194.89097744366,0.0115
Elgin,63655,111683.00000000009,34211.89027873533,0.5997
Evergreen Park,67481.99999999999,19324.999999999996,47190.87099611905,0.2568
Flossmoor,101412.00000000003,9237.000000000007,31225.860236007364,0
Forest Park,55359.00000000003,13807.000000000007,46210.24907655541,0
Forest View,61094.00000000001,677.9999999999999,155813.63421828905,0
Fox Lake,57701.999999999985,10481.00000000001,55614.807747352395,0
Fox River Grove,101574.00000000007,4629.999999999997,40291.303887688984,0
Franklin Park,60090.99999999995,17808.000000000007,49393.49634995508,0.0863
Gilberts,105087.00000000006,8096.999999999996,26050.841175744088,0
Glendale Heights,62762.99999999995,33928.000000000015,40127.46250884226,0.342
Greenwood,85999.99999999994,249.9999999999999,31757.004000000015,0
Hampshire,99361.99999999997,6323.999999999998,39008.47928526252,0
Hanover Park,70401,37746.99999999999,33423.22931623705,0.4378
Harwood Heights,54080.00000000004,8413.000000000005,49952.762034945874,0
Hickory Hills,63864.99999999997,13833.999999999998,33204.91376319211,0.3357
Hillside,52037.00000000002,7957.999999999996,63770.223171651196,9e-4
Hodgkins,43976.99999999996,1885.0000000000005,415563.0503978779,0
Homewood,72954.99999999996,18884.999999999993,43883.09679639928,0.3468
Indian Creek,126000.00000000007,534.0000000000001,44245.449438202224,0
