GEOID,MUNI,POP,SCORE_ln_POP,SCORE_ln_TAX_BASE_PER_CAP,SCORE_ln_MED_HH_INC,SCORE_PCT_EDA_POP,SCORE_ln_COVID_DEATH_RATE,SCORE_OVERALL_SCALED
1701010,Alsip,18709,4,6,4,10,9,62.22222222222222
1702154,Arlington Heights,74760,1,6,8,9,7,57.77777777777777
1703844,Barrington,10217,7,9,10,10,8,86.66666666666667
1703883,Barrington Hills,4190,9,9,10,10,10,95.55555555555556
1704013,Bartlett,40647,2,4,9,9,9,62.22222222222222
1704572,Bedford Park,604,10,10,6,10,2,73.33333333333333
1704975,Bellwood,18672,4,2,4,2,6,28.888888888888886
1705248,Bensenville,18044,4,7,5,8,8,60
1705404,Berkeley,5048,9,3,5,10,10,71.11111111111111
1705573,Berwyn,54391,2,2,5,3,4,24.444444444444443
1706704,Blue Island,22899,4,2,2,1,6,22.22222222222222
1708225,Bridgeview,16096,5,7,4,8,2,46.666666666666664
1708446,Broadview,7618,8,7,3,4,4,46.666666666666664
1708576,Brookfield,18310,4,3,7,3,9,46.666666666666664
1709447,Buffalo Grove,40494,2,7,9,10,7,66.66666666666666
1709642,Burbank,28289,3,3,5,4,4,31.11111111111111
1709798,Burnham,4088,9,1,2,1,4,26.666666666666668
1709980,Burr Ridge,10758,6,9,10,10,9,86.66666666666667
1710487,Calumet City,35913,2,3,2,1,9,26.666666666666668
1710513,Calumet Park,7602,8,2,3,5,7,44.44444444444444
1714026,Chicago Heights,29322,3,2,3,2,3,17.77777777777778
1714065,Chicago Ridge,13928,5,5,2,5,1,28.888888888888886
1714351,Cicero,80796,1,2,3,1,3,11.11111111111111
1716691,Country Club Hills,16482,5,2,5,6,1,31.11111111111111
1716873,Countryside,5933,8,10,4,10,10,82.22222222222221
1717497,Crestwood,10706,6,7,5,9,2,53.333333333333336
1719083,Deer Park,4225,9,9,10,10,10,95.55555555555556
1718992,Deerfield,18646,4,9,10,10,6,75.55555555555556
1719642,Des Plaines,58899,1,6,6,9,2,42.22222222222222
1720149,Dixmoor,3563,9,2,2,1,10,42.22222222222222
1720292,Dolton,22348,4,1,2,1,3,13.333333333333334
1721696,East Dundee,3216,10,8,6,10,10,86.66666666666667
1721904,East Hazel Crest,1497,10,2,4,10,1,48.888888888888886
1723074,Elgin,110849,1,4,6,5,9,44.44444444444444
1723256,Elk Grove Village,32400,3,8,7,10,3,57.77777777777777
1723620,Elmhurst,46746,2,8,9,10,9,73.33333333333333
1723724,Elmwood Park,24098,3,3,4,6,4,33.33333333333333
1724582,Evanston,73473,1,6,7,10,4,51.11111111111111
1724634,Evergreen Park,19147,4,6,6,8,5,53.333333333333336
1726571,Flossmoor,9155,7,4,9,10,4,64.44444444444444
1726710,Ford Heights,2682,10,1,1,1,7,33.33333333333333
1726935,Forest Park,13704,5,6,5,10,5,57.77777777777777
1726987,Forest View,666,10,10,5,10,10,88.88888888888889
1727624,Frankfort,19373,4,8,10,10,9,80
1727702,Franklin Park,17627,5,6,5,10,6,60
1729652,Glencoe,8826,7,9,10,10,10,91.11111111111111
1729938,Glenview,47308,2,8,9,10,3,60
1730029,Glenwood,8715,7,2,5,7,5,46.666666666666664
1730328,Golf,493,10,8,10,10,10,95.55555555555556
1732746,Hanover Park,37426,2,4,7,6,9,51.11111111111111
1733383,Harvey,24408,3,1,1,1,4,11.11111111111111
1733435,Harwood Heights,8333,7,6,5,10,5,62.22222222222222
1733695,Hazel Crest,13565,6,2,3,4,3,28.888888888888886
1734514,Hickory Hills,13710,5,4,6,7,8,55.55555555555556
1735086,Hillside,7933,7,7,4,10,7,66.66666666666666
1735307,Hinsdale,17637,5,9,10,10,8,82.22222222222221
1735385,Hodgkins,1971,10,10,3,10,10,84.44444444444444
1735411,Hoffman Estates,50932,2,5,8,9,9,62.22222222222222
1735835,Homer Glen,24472,3,6,9,10,10,73.33333333333333
1735866,Hometown,4177,9,2,3,1,4,31.11111111111111
1735879,Homewood,18703,4,6,6,7,2,44.44444444444444
1737257,Indian Head Park,3719,9,5,8,10,10,82.22222222222221
1737608,Inverness,7376,8,7,10,10,9,86.66666666666667
1738830,Justice,12608,6,2,3,5,6,37.77777777777778
1739519,Kenilworth,2475,10,9,10,10,10,97.77777777777777
1740767,La Grange,15322,5,6,10,10,4,66.66666666666666
1740793,La Grange Park,13178,6,4,9,7,4,55.55555555555556
1742028,Lansing,27402,3,3,4,5,9,42.22222222222222
1742795,Lemont,17291,5,6,9,10,8,73.33333333333333
1743744,Lincolnwood,12245,6,8,8,10,1,62.22222222222222
1745421,Lynwood,9194,7,2,4,1,9,40
1745434,Lyons,10372,6,4,5,5,4,42.22222222222222
1747007,Markham,12314,6,2,2,1,3,20
1747540,Matteson,19448,4,6,7,9,3,53.333333333333336
1747774,Maywood,23158,4,1,3,1,6,22.22222222222222
1745564,McCook,220,10,10,7,10,10,93.33333333333333
1748242,Melrose Park,24703,3,6,3,2,4,28.888888888888886
1748554,Merrionette Park,1858,10,6,3,10,6,66.66666666666666
1748892,Midlothian,14346,5,3,5,7,8,51.11111111111111
1750647,Morton Grove,22796,4,6,8,8,5,57.77777777777777
1751089,Mount Prospect,53719,2,8,7,7,9,62.22222222222222
1753000,Niles,28938,3,8,5,7,1,42.22222222222222
1753377,Norridge,14152,5,7,5,10,1,51.11111111111111
1754144,North Riverside,6429,8,9,5,10,8,77.77777777777779
1753481,Northbrook,32958,3,9,10,10,3,66.66666666666666
1753663,Northfield,5386,9,10,10,10,9,95.55555555555556
1753871,Northlake,12161,6,6,4,8,5,53.333333333333336
1754534,Oak Brook,8016,7,10,10,10,10,93.33333333333333
1754638,Oak Forest,27173,3,3,7,10,8,57.77777777777777
1754820,Oak Lawn,55022,1,5,5,7,2,33.33333333333333
1754885,Oak Park,52381,2,5,8,10,6,57.77777777777777
1755938,Olympia Fields,4790,9,6,9,10,4,73.33333333333333
1756627,Orland Hills,7023,8,5,8,10,8,75.55555555555556
1756640,Orland Park,57857,1,8,8,10,5,60
1757225,Palatine,67482,1,5,7,9,9,57.77777777777777
1757381,Palos Heights,12520,6,5,8,10,1,55.55555555555556
1757394,Palos Hills,17060,5,3,5,7,3,40
1757407,Palos Park,4736,9,7,8,10,5,75.55555555555556
1757732,Park Forest,21210,4,1,3,2,4,20
1757875,Park Ridge,36950,2,6,9,10,3,55.55555555555556
1759572,Phoenix,1908,10,1,1,1,10,40
1761314,Posen,5865,8,2,3,1,10,42.22222222222222
1762016,Prospect Heights,15887,5,4,6,8,7,55.55555555555556
1763706,Richton Park,13292,6,2,4,7,4,40
1764304,River Forest,10816,6,7,10,10,9,82.22222222222221
1764343,River Grove,9883,7,4,4,4,7,46.666666666666664
1764278,Riverdale,13077,6,1,1,1,7,24.444444444444443
1764421,Riverside,8563,7,5,9,10,9,77.77777777777779
1764616,Robbins,5438,9,1,1,1,4,24.444444444444443
1765338,Rolling Meadows,23532,4,6,6,10,6,60
1765806,Roselle,22463,4,6,8,10,9,71.11111111111111
1765819,Rosemont,4066,9,10,4,7,9,75.55555555555556
1767769,Sauk Village,10246,7,1,2,1,9,33.33333333333333
1768003,Schaumburg,72887,1,8,7,9,9,64.44444444444444
1768081,Schiller Park,11403,6,6,4,10,7,62.22222222222222
1770122,Skokie,62700,1,7,7,10,5,55.55555555555556
