GEOID,MUNI,POP,SCORE_ln_TAX_BASE_PER_CAP,SCORE_ln_MED_HH_INC,SCORE_PCT_EDA_POP,SCORE_ln_COVID_DEATH_RATE,SCORE_OVERALL_SCALED
1701010,Alsip,18709,6,4,10,9,73.33333333333333
1702154,Arlington Heights,74760,6,8,9,7,77.77777777777779
1703844,Barrington,10217,9,10,10,8,94.44444444444444
1703883,Barrington Hills,4190,9,10,10,10,98.88888888888889
1704013,Bartlett,40647,4,9,9,9,83.33333333333334
1704572,Bedford Park,604,10,6,10,2,68.88888888888889
1704975,Bellwood,18672,2,4,2,6,26.666666666666668
1705248,Bensenville,18044,7,5,8,8,66.66666666666666
1705404,Berkeley,5048,3,5,10,10,75.55555555555556
1705573,Berwyn,54391,2,5,3,4,30
1706704,Blue Island,22899,2,2,1,6,15.555555555555555
1708225,Bridgeview,16096,7,4,8,2,50
1708446,Broadview,7618,7,3,4,4,33.33333333333333
1708576,Brookfield,18310,3,7,3,9,48.888888888888886
1709447,Buffalo Grove,40494,7,9,10,7,86.66666666666667
1709642,Burbank,28289,3,5,4,4,35.55555555555556
1709798,Burnham,4088,1,2,1,4,10
1709980,Burr Ridge,10758,9,10,10,9,96.66666666666667
1710487,Calumet City,35913,3,2,1,9,23.333333333333332
1710513,Calumet Park,7602,2,3,5,7,38.88888888888889
1714026,Chicago Heights,29322,2,3,2,3,16.666666666666664
1714065,Chicago Ridge,13928,5,2,5,1,25.555555555555554
1714351,Cicero,80796,2,3,1,3,12.222222222222221
1716691,Country Club Hills,16482,2,5,6,1,36.666666666666664
1716873,Countryside,5933,10,4,10,10,80
1717497,Crestwood,10706,7,5,9,2,57.77777777777777
1719083,Deer Park,4225,9,10,10,10,98.88888888888889
1718992,Deerfield,18646,9,10,10,6,90
1719642,Des Plaines,58899,6,6,9,2,60
1720149,Dixmoor,3563,2,2,1,10,24.444444444444443
1720292,Dolton,22348,1,2,1,3,7.777777777777778
1721696,East Dundee,3216,8,6,10,10,84.44444444444444
1721904,East Hazel Crest,1497,2,4,10,1,51.11111111111111
1723074,Elgin,110849,4,6,5,9,55.55555555555556
1723256,Elk Grove Village,32400,8,7,10,3,72.22222222222221
1723620,Elmhurst,46746,8,9,10,9,92.22222222222223
1723724,Elmwood Park,24098,3,4,6,4,41.11111111111111
1724582,Evanston,73473,6,7,10,4,72.22222222222221
1724634,Evergreen Park,19147,6,6,8,5,62.22222222222222
1726571,Flossmoor,9155,4,9,10,4,76.66666666666667
1726710,Ford Heights,2682,1,1,1,7,13.333333333333334
