"","CCA_ID","CCA_NAME","ln_POP","ln_TAX_BASE_PER_CAP","ln_MED_HH_INC","PCT_EDA_POP","SCORE_ln_POP","WT_SCORE_ln_POP","SCORE_ln_TAX_BASE_PER_CAP","WT_SCORE_ln_TAX_BASE_PER_CAP","SCORE_ln_MED_HH_INC","WT_SCORE_ln_MED_HH_INC","SCORE_PCT_EDA_POP","WT_SCORE_PCT_EDA_POP","SCORE_OVERALL","SCORE_OVERALL_SCALED","COHORT"
"1","14","Albany Park",14.8242415371415,10.2493215241121,11.189555255992,0.736,10,10,3,3,3,3,3,3,19,41.6666666666667,"3"
"2","57","Archer Heights",14.8242415371415,10.2785486371655,10.8590671894556,0.778,10,10,3,3,1,1,3,3,17,36.1111111111111,"4"
"3","34","Armour Square",14.8242415371415,10.4509850508809,10.5295584251222,0.752,10,10,4,4,1,1,3,3,18,38.8888888888889,"3"
"4","70","Ashburn",14.8242415371415,10.1382115623109,11.1969063467889,0.86,10,10,2,2,3,3,2,2,17,36.1111111111111,"4"
"5","71","Auburn Gresham",14.8242415371415,9.87564430574574,10.5385013579558,0.965,10,10,2,2,1,1,1,1,14,27.7777777777778,"4"
"6","25","Austin",14.8242415371415,9.99974177663873,10.5559949006709,0.868,10,10,2,2,1,1,2,2,15,30.5555555555556,"4"
"7","45","Avalon Park",14.8242415371415,10.1852563410463,10.8942789105897,0.879,10,10,3,3,1,1,2,2,16,33.3333333333333,"4"
"8","21","Avondale",14.8242415371415,10.4805122889069,11.3010273662944,0.413,10,10,4,4,4,4,6,6,24,55.5555555555556,"2"
"9","19","Belmont Cragin",14.8242415371415,10.0722586432731,11.0262779231468,0.932,10,10,2,2,2,2,1,1,15,30.5555555555556,"4"
"10","72","Beverly",14.8242415371415,10.6724356365818,11.6424045403898,0,10,10,5,5,8,8,10,10,33,80.5555555555556,"1"
"11","60","Bridgeport",14.8242415371415,10.4635138829983,11.1284380500153,0.363,10,10,4,4,3,3,7,7,24,55.5555555555556,"2"
"12","58","Brighton Park",14.8242415371415,9.92415784135326,10.7781717487211,0.964,10,10,2,2,1,1,1,1,14,27.7777777777778,"4"
"13","47","Burnside",14.8242415371415,10.2224282178783,10.7274049642793,0.704,10,10,3,3,1,1,3,3,17,36.1111111111111,"4"
"14","48","Calumet Heights",14.8242415371415,10.2033810566332,11.1153681965061,0.365,10,10,3,3,3,3,7,7,23,52.7777777777778,"2"
"15","44","Chatham",14.8242415371415,10.0541278835944,10.6049710283306,0.888,10,10,2,2,1,1,2,2,15,30.5555555555556,"4"
"16","66","Chicago Lawn",14.8242415371415,9.82661327921675,10.5567197279864,0.963,10,10,1,1,1,1,1,1,13,25,"4"
"17","64","Clearing",14.8242415371415,10.2621645235672,11.0751385712107,0.603,10,10,3,3,2,2,4,4,19,41.6666666666667,"3"
"18","35","Douglas",14.8242415371415,10.1138042730038,10.5484751040425,0.637,10,10,2,2,1,1,4,4,17,36.1111111111111,"4"
"19","17","Dunning",14.8242415371415,10.4337085944955,11.2621167145833,0.381,10,10,4,4,4,4,7,7,25,58.3333333333333,"2"
"20","27","East Garfield Park",14.8242415371415,9.97530882114172,10.1539420382444,0.79,10,10,2,2,1,1,3,3,16,33.3333333333333,"4"
"21","52","East Side",14.8242415371415,9.80764603105583,10.9284535095139,0.792,10,10,1,1,2,2,3,3,16,33.3333333333333,"4"
"22","77","Edgewater",14.8242415371415,10.5299458246555,11.0328262028357,0.248,10,10,4,4,2,2,8,8,24,55.5555555555556,"2"
"23","9","Edison Park",14.8242415371415,10.8525998764946,11.6526874073454,0,10,10,6,6,8,8,10,10,34,83.3333333333333,"1"
"24","68","Englewood",14.8242415371415,9.85946755878059,10.1035305069124,0.865,10,10,2,2,1,1,2,2,15,30.5555555555556,"4"
"25","12","Forest Glen",14.8242415371415,10.9228326253905,11.7973639406762,0,10,10,7,7,9,9,10,10,36,88.8888888888889,"1"
"26","37","Fuller Park",14.8242415371415,10.1316399558563,9.69777999387018,0.656,10,10,2,2,1,1,4,4,17,36.1111111111111,"4"
"27","63","Gage Park",14.8242415371415,9.82160238004469,10.6814736130331,0.928,10,10,1,1,1,1,1,1,13,25,"4"
"28","56","Garfield Ridge",14.8242415371415,10.3881698842691,11.3422010050987,0.639,10,10,4,4,5,5,4,4,23,52.7777777777778,"2"
"29","38","Grand Boulevard",14.8242415371415,10.10292713003,10.6151010683209,0.66,10,10,2,2,1,1,4,4,17,36.1111111111111,"4"
"30","69","Greater Grand Crossing",14.8242415371415,10.0345971440406,10.3852997119377,0.787,10,10,2,2,1,1,3,3,16,33.3333333333333,"4"
"31","55","Hegewisch",14.8242415371415,10.2313411765315,10.9627690655162,0.67,10,10,3,3,2,2,4,4,19,41.6666666666667,"3"
"32","20","Hermosa",14.8242415371415,10.0420488436565,10.9985747614444,0.919,10,10,2,2,2,2,1,1,15,30.5555555555556,"4"
"33","23","Humboldt Park",14.8242415371415,10.0029348379705,10.7533331850021,0.952,10,10,2,2,1,1,1,1,14,27.7777777777778,"4"
"34","41","Hyde Park",14.8242415371415,10.504572201675,10.9770951289101,0.229,10,10,4,4,2,2,8,8,24,55.5555555555556,"2"
"35","16","Irving Park",14.8242415371415,10.4920125772814,11.276488986554,0.185,10,10,4,4,4,4,9,9,27,63.8888888888889,"2"
"36","11","Jefferson Park",14.8242415371415,10.5406600058178,11.3317353433337,0.434,10,10,4,4,5,5,6,6,25,58.3333333333333,"2"
"37","39","Kenwood",14.8242415371415,10.4119744668929,10.9026549114985,0.237,10,10,4,4,1,1,8,8,23,52.7777777777778,"2"
"38","6","Lake View",14.8242415371415,11.0017011900878,11.4634483637986,0.033,10,10,7,7,6,6,10,10,33,80.5555555555556,"1"
"39","7","Lincoln Park",14.8242415371415,11.3585278310864,11.7202978826078,0,10,10,9,9,8,8,10,10,37,91.6666666666667,"1"
"40","4","Lincoln Square",14.8242415371415,10.6635667432129,11.3555181380922,0.161,10,10,5,5,5,5,9,9,29,69.4444444444444,"1"
"41","22","Logan Square",14.8242415371415,10.7246871659778,11.4213208520877,0.134,10,10,5,5,6,6,9,9,30,72.2222222222222,"1"
"42","31","Lower West Side",14.8242415371415,10.3200251103599,11.0336814132545,0.351,10,10,3,3,2,2,7,7,22,50,"2"
"43","59","McKinley Park",14.8242415371415,10.2986310282352,11.0954680034749,0.741,10,10,3,3,3,3,3,3,19,41.6666666666667,"3"
"44","18","Montclare",14.8242415371415,10.2718932598821,10.9593887231112,0.848,10,10,3,3,2,2,2,2,17,36.1111111111111,"4"
"45","75","Morgan Park",14.8242415371415,10.3433392800949,11.1047528928779,0.517,10,10,3,3,3,3,5,5,21,47.2222222222222,"2"
"46","74","Mount Greenwood",14.8242415371415,10.4804328854786,11.5762532366113,0,10,10,4,4,7,7,10,10,31,75,"1"
"47","8","Near North Side",14.8242415371415,11.8377272604998,11.6508608951339,0.299,10,10,10,10,8,8,8,8,36,88.8888888888889,"1"
"48","33","Near South Side",14.8242415371415,11.320346692728,11.6352297127771,0,10,10,8,8,8,8,10,10,36,88.8888888888889,"1"
"49","28","Near West Side",14.8242415371415,11.3026347954128,11.4985093505382,0.197,10,10,8,8,7,7,9,9,34,83.3333333333333,"1"
"50","61","New City",14.8242415371415,9.95372889266472,10.5260490731833,0.936,10,10,2,2,1,1,1,1,14,27.7777777777778,"4"
"51","5","North Center",14.8242415371415,11.0626126671648,11.8643370759124,0,10,10,7,7,9,9,10,10,36,88.8888888888889,"1"
"52","29","North Lawndale",14.8242415371415,9.89204467070224,10.3524027775708,0.907,10,10,2,2,1,1,1,1,14,27.7777777777778,"4"
"53","13","North Park",14.8242415371415,10.4704449026427,11.0740422879533,0.763,10,10,4,4,2,2,3,3,19,41.6666666666667,"3"
"54","10","Norwood Park",14.8242415371415,10.6861937089078,11.4720120771602,0.118,10,10,5,5,6,6,9,9,30,72.2222222222222,"1"
"55","36","Oakland",14.8242415371415,10.0240195898296,10.2949664186696,0.668,10,10,2,2,1,1,4,4,17,36.1111111111111,"4"
"56","76","O'Hare",14.8242415371415,10.9013519284738,11.0391394327004,0,10,10,6,6,2,2,10,10,28,66.6666666666667,"1"
"57","15","Portage Park",14.8242415371415,10.3737698457868,11.2651306619356,0.502,10,10,4,4,4,4,5,5,23,52.7777777777778,"2"
"58","50","Pullman",14.8242415371415,10.2836986553235,10.8888765521874,0.453,10,10,3,3,1,1,6,6,20,44.4444444444444,"3"
"59","54","Riverdale",14.8242415371415,9.48234395743526,9.78115291789353,0.857,10,10,1,1,1,1,2,2,14,27.7777777777778,"4"
"60","1","Rogers Park",14.8242415371415,10.157507365395,10.8406620666531,0.822,10,10,3,3,1,1,2,2,16,33.3333333333333,"4"
"61","49","Roseland",14.8242415371415,9.92067327556694,10.736241383911,0.929,10,10,2,2,1,1,1,1,14,27.7777777777778,"4"
"62","46","South Chicago",14.8242415371415,9.84796005686439,10.5967258368177,0.914,10,10,2,2,1,1,1,1,14,27.7777777777778,"4"
"63","51","South Deering",14.8242415371415,10.0748884996447,10.3767304651531,0.972,10,10,2,2,1,1,1,1,14,27.7777777777778,"4"
"64","30","South Lawndale",14.8242415371415,9.72327450214841,10.5701147549741,0.98,10,10,1,1,1,1,1,1,13,25,"4"
"65","43","South Shore",14.8242415371415,9.94528400870622,10.5458733771935,0.858,10,10,2,2,1,1,2,2,15,30.5555555555556,"4"
"66","32","The Loop",14.8242415371415,12.3660601157419,11.6612401200629,0.062,10,10,10,10,8,8,10,10,38,94.4444444444444,"1"
"67","3","Uptown",14.8242415371415,10.5055910009471,11.0213930441389,0.226,10,10,4,4,2,2,8,8,24,55.5555555555556,"2"
"68","73","Washington Heights",14.8242415371415,10.0299301236433,10.9228313071391,0.664,10,10,2,2,2,2,4,4,18,38.8888888888889,"3"
"69","40","Washington Park",14.8242415371415,9.90599762242005,10.0786121555706,0.699,10,10,2,2,1,1,4,4,17,36.1111111111111,"4"
"70","62","West Elsdon",14.8242415371415,10.0832475065702,10.9693034203125,0.673,10,10,2,2,2,2,4,4,18,38.8888888888889,"3"
"71","67","West Englewood",14.8242415371415,9.81171682949611,10.2532360481965,0.944,10,10,1,1,1,1,1,1,13,25,"4"
"72","26","West Garfield Park",14.8242415371415,9.88537032342669,10.469725881232,0.968,10,10,2,2,1,1,1,1,14,27.7777777777778,"4"
"73","65","West Lawn",14.8242415371415,10.0898113867962,11.0260915308841,0.579,10,10,2,2,2,2,5,5,19,41.6666666666667,"3"
