GEOID,MUNI,COHORT,WEIGHTED_SCORE,SCORE_ln_POP,SCORE_ln_TAX_BASE_PER_CAP,SCORE_ln_MED_HH_INC,SCORE_PCT_EDA_POP
1701010,Alsip,2,63.888888888888886,7,6,4,10
1702154,Arlington Heights,1,83.33333333333334,10,7,8,9
1703844,Barrington,1,80.55555555555556,4,9,10,10
1703883,Barrington Hills,1,75,2,9,10,10
1704013,Bartlett,1,75,9,4,9,9
1704572,Bedford Park,2,63.888888888888886,1,10,6,10
1704975,Bellwood,4,30.555555555555557,7,2,4,2
1705404,Berkeley,2,47.22222222222222,2,3,6,10
1705573,Berwyn,3,41.66666666666667,9,2,5,3
1706704,Blue Island,4,22.22222222222222,7,2,2,1
1708225,Bridgeview,2,58.333333333333336,6,7,4,8
1708446,Broadview,4,36.11111111111111,3,6,4,4
1708576,Brookfield,2,47.22222222222222,7,3,8,3
1709447,Buffalo Grove,1,86.11111111111111,9,7,9,10
1709642,Burbank,3,44.44444444444444,8,3,5,4
1709798,Burnham,4,8.333333333333332,2,1,3,1
1710487,Calumet City,4,30.555555555555557,9,3,2,1
1710513,Calumet Park,4,25,3,2,3,5
1714026,Chicago Heights,4,30.555555555555557,8,2,3,2
1714065,Chicago Ridge,3,44.44444444444444,6,6,3,5
1714351,Cicero,4,33.33333333333333,10,2,3,1
1716691,Country Club Hills,3,41.66666666666667,6,2,5,6
1716873,Countryside,2,63.888888888888886,3,10,4,10
1717497,Crestwood,2,58.333333333333336,5,7,4,9
1719083,Deer Park,1,75,2,9,10,10
1718992,Deerfield,1,88.88888888888889,7,9,10,10
1719642,Des Plaines,1,77.77777777777779,10,7,6,9
1720149,Dixmoor,4,5.555555555555555,2,1,2,1
1720292,Dolton,4,25,7,2,3,1
1721696,East Dundee,2,58.333333333333336,1,8,6,10
1721904,East Hazel Crest,3,38.88888888888889,1,2,5,10
1723074,Elgin,2,58.333333333333336,10,4,6,5
1723256,Elk Grove Village,1,83.33333333333334,8,9,7,10
1723620,Elmhurst,1,88.88888888888889,9,8,9,10
1723724,Elmwood Park,2,47.22222222222222,7,3,5,6
1724582,Evanston,1,80.55555555555556,10,6,7,10
1724634,Evergreen Park,2,63.888888888888886,7,6,6,8
1726571,Flossmoor,2,63.888888888888886,4,4,9,10
1726710,Ford Heights,4,0,1,1,1,1
1726935,Forest Park,2,61.111111111111114,6,6,4,10
1726987,Forest View,2,61.111111111111114,1,10,5,10
1727624,Frankfort,1,86.11111111111111,7,8,10,10
1727702,Franklin Park,2,63.888888888888886,6,6,5,10
1729652,Glencoe,1,80.55555555555556,4,9,10,10
1729938,Glenview,1,88.88888888888889,9,8,9,10
1730029,Glenwood,3,38.88888888888889,4,2,5,7
1730328,Golf,1,69.44444444444444,1,8,10,10
1732746,Hanover Park,2,61.111111111111114,9,4,7,6
1733383,Harvey,4,19.444444444444446,8,1,1,1
1733435,Harwood Heights,2,55.55555555555556,4,6,4,10
1733695,Hazel Crest,4,30.555555555555557,5,2,4,4
1734514,Hickory Hills,2,52.77777777777778,6,4,6,7
1735086,Hillside,2,58.333333333333336,4,7,4,10
1735307,Hinsdale,1,86.11111111111111,6,9,10,10
1735385,Hodgkins,2,55.55555555555556,1,10,3,10
1735411,Hoffman Estates,1,75,9,5,8,9
1735866,Hometown,4,11.11111111111111,2,2,3,1
1735879,Homewood,2,63.888888888888886,7,6,7,7
1737257,Indian Head Park,2,58.333333333333336,2,5,8,10
1737608,Inverness,1,72.22222222222221,3,7,10,10
1738830,Justice,4,30.555555555555557,5,2,3,5
1739519,Kenilworth,1,72.22222222222221,1,9,10,10
1740767,La Grange,1,77.77777777777779,6,6,10,10
1740793,La Grange Park,2,58.333333333333336,5,4,9,7
1742028,Lansing,3,44.44444444444444,8,4,3,5
1742795,Lemont,1,75,6,6,9,10
1743744,Lincolnwood,1,77.77777777777779,5,8,9,10
1745421,Lynwood,4,19.444444444444446,4,2,4,1
1745434,Lyons,4,36.11111111111111,5,4,3,5
1747007,Markham,4,13.88888888888889,5,2,1,1
1747540,Matteson,1,72.22222222222221,7,6,8,9
1747774,Maywood,4,22.22222222222222,7,1,3,1
1745564,McCook,2,61.111111111111114,1,10,5,10
1748242,Melrose Park,3,41.66666666666667,8,6,3,2
1748554,Merrionette Park,2,47.22222222222222,1,6,4,10
1748892,Midlothian,2,47.22222222222222,6,3,5,7
1750647,Morton Grove,1,72.22222222222221,7,7,8,8
1751089,Mount Prospect,1,75,9,8,7,7
1753000,Niles,1,69.44444444444444,8,9,5,7
1753377,Norridge,1,69.44444444444444,6,7,6,10
1754144,North Riverside,2,63.888888888888886,3,9,5,10
1753481,Northbrook,1,91.66666666666666,8,9,10,10
1753663,Northfield,1,75,2,10,9,10
1753871,Northlake,2,52.77777777777778,5,6,4,8
1754534,Oak Brook,1,83.33333333333334,4,10,10,10
1754638,Oak Forest,1,66.66666666666666,8,3,7,10
1754820,Oak Lawn,2,61.111111111111114,9,5,5,7
1754885,Oak Park,1,77.77777777777779,9,5,8,10
1755938,Olympia Fields,2,63.888888888888886,2,6,9,10
1756627,Orland Hills,2,61.111111111111114,3,5,8,10
1756640,Orland Park,1,88.88888888888889,10,8,8,10
1757225,Palatine,1,75,10,5,7,9
1757381,Palos Heights,1,66.66666666666666,5,5,8,10
1757394,Palos Hills,2,47.22222222222222,6,3,5,7
1757407,Palos Park,2,63.888888888888886,2,7,8,10
1757732,Park Forest,4,27.77777777777778,7,1,4,2
1757875,Park Ridge,1,83.33333333333334,9,6,9,10
1759572,Phoenix,4,2.7777777777777777,1,1,2,1
1761314,Posen,4,11.11111111111111,3,2,2,1
1762016,Prospect Heights,2,52.77777777777778,6,4,5,8
1763706,Richton Park,3,38.88888888888889,5,2,4,7
1764304,River Forest,1,75,5,7,9,10
1764343,River Grove,4,30.555555555555557,4,4,3,4
1764278,Riverdale,4,11.11111111111111,5,1,1,1
1764421,Riverside,2,63.888888888888886,4,4,9,10
