"","GEOID","MUNI","ln_POP","ln_TAX_BASE_PER_CAP","ln_MED_HH_INC","PCT_EDA_POP","SCORE_ln_POP","WT_SCORE_ln_POP","SCORE_ln_TAX_BASE_PER_CAP","WT_SCORE_ln_TAX_BASE_PER_CAP","SCORE_ln_MED_HH_INC","WT_SCORE_ln_MED_HH_INC","SCORE_PCT_EDA_POP","WT_SCORE_PCT_EDA_POP","SCORE_OVERALL","SCORE_OVERALL_SCALED","COHORT"
"1","1700243","Addison",10.4912464392747,11.079480756121,11.2379621649262,0.498,8,8,7,7,4,4,6,6,25,58.3333333333333,"2"
"2","1700685","Algonquin",10.3045764322433,10.9421281051254,11.6556915859308,0,8,8,7,7,8,8,10,10,33,80.5555555555556,"1"
"3","1701010","Alsip",9.854087202241,10.8166078878807,10.9873752985836,0.467,7,7,6,6,2,2,6,6,21,47.2222222222222,"2"
"4","1701595","Antioch",9.5959428509881,10.8884894124824,11.519950729907,0,6,6,6,6,7,7,10,10,29,69.4444444444444,"1"
"5","1702154","Arlington Heights",11.2552292880087,10.9900489187001,11.5805467295677,0.056,10,10,7,7,7,7,10,10,34,83.3333333333333,"1"
"6","1703012","Aurora",12.1196810764199,10.4492639188793,11.2852968708713,0.337,10,10,4,4,4,4,7,7,25,58.3333333333333,"2"
"7","1703610","Bannockburn",7.18159194461187,12.3487344295537,11.901583454762,0,1,1,10,10,10,10,10,10,31,75,"1"
"8","1703844","Barrington",9.32134493001909,11.6617746673303,11.7460193471376,0,5,5,10,10,9,9,10,10,34,83.3333333333333,"1"
"9","1703883","Barrington Hills",8.3513747067213,11.5790745908307,12.130519013529,0,3,3,9,9,10,10,10,10,32,77.7777777777778,"1"
"10","1704013","Bartlett",10.6243958038815,10.4437507887959,11.645014567995,0,9,9,4,4,8,8,10,10,31,75,"1"
"11","1704078","Batavia",10.1758402278629,10.9814691315667,11.6004417144903,0,8,8,7,7,7,7,10,10,32,77.7777777777778,"1"
"12","1704303","Beach Park",9.52032195192273,9.96434551181243,11.2380674779693,0.424,6,6,2,2,4,4,6,6,18,38.8888888888889,"3"
"13","1704572","Bedford Park",6.51323011091231,13.9708448308374,11.4291524751038,0,1,1,10,10,6,6,10,10,27,63.8888888888889,"2"
"14","1704585","Beecher",8.42683075133585,10.3888313578326,11.4024742358126,0,3,3,4,4,6,6,10,10,23,52.7777777777778,"2"
"15","1704975","Bellwood",9.84044125081849,9.65398689003907,11.1052128330716,0.704,7,7,1,1,3,3,3,3,14,27.7777777777778,"4"
"16","1705248","Bensenville",9.84166533889278,11.0287965354634,11.1350560684529,0.205,7,7,7,7,3,3,8,8,25,58.3333333333333,"2"
"17","1705404","Berkeley",8.57810012631976,10.0195353990154,11.2092765989964,0,3,3,2,2,4,4,10,10,19,41.6666666666667,"3"
"18","1705573","Berwyn",10.9501045460859,9.89470358320443,11.0816039423168,0.211,9,9,2,2,3,3,8,8,22,50,"2"
"19","1705976","Big Rock",7.09672137849476,10.9151958937238,11.6331765635632,0,1,1,6,6,8,8,10,10,25,58.3333333333333,"2"
"20","1706587","Bloomingdale",10.0184220906282,11.2001834378035,11.3773806181351,0.423,7,7,8,8,5,5,6,6,26,61.1111111111111,"2"
"21","1706704","Blue Island",10.0403758045983,9.68027527992808,10.8587874367246,1,7,7,1,1,1,1,1,1,10,16.6666666666667,"4"
"22","1707133","Bolingbrook",11.209208857039,10.8800622621227,11.4862837040238,0,10,10,6,6,6,6,10,10,32,77.7777777777778,"1"
"23","1707640","Braceville",6.76041469108343,9.63151663691098,11.281938736195,0,1,1,1,1,4,4,10,10,16,33.3333333333333,"4"
"24","1707770","Braidwood",8.74512525946224,10.1809998130243,11.1561362287861,0.288,4,4,3,3,3,3,8,8,18,38.8888888888889,"3"
"25","1708225","Bridgeview",9.73406247747719,11.035104083701,10.9745744701395,0.6,7,7,7,7,2,2,5,5,21,47.2222222222222,"2"
"26","1708446","Broadview",8.98682175033189,10.9868611423342,10.9472563928217,0.325,4,4,7,7,2,2,7,7,20,44.4444444444444,"3"
"27","1708576","Brookfield",9.8790411596312,10.0871900468248,11.408486746549,0,7,7,2,2,6,6,10,10,25,58.3333333333333,"2"
"28","1709447","Buffalo Grove",10.6703962166581,10.9800235371286,11.7052963576172,0.021,9,9,7,7,8,8,10,10,34,83.3333333333333,"1"
"29","1709531","Bull Valley",7.13089883029635,10.8450810054808,11.6028118717648,0,1,1,6,6,8,8,10,10,25,58.3333333333333,"2"
"30","1709642","Burbank",10.2857522674739,10.2027230889833,11.2045779931415,0.196,8,8,3,3,4,4,9,9,24,55.5555555555556,"2"
"31","1709759","Burlington",6.20455776256869,10.6920765846721,11.2417726944697,0,1,1,5,5,4,4,10,10,20,44.4444444444444,"3"
"32","1709798","Burnham",8.3150770072941,9.49172633744894,10.830836911767,1,3,3,1,1,1,1,1,1,6,5.55555555555556,"4"
"33","1709980","Burr Ridge",9.32071827944579,11.6989457155272,11.906412454319,0,5,5,10,10,10,10,10,10,35,86.1111111111111,"1"
"34","1710487","Calumet City",10.4930781449378,10.0922203493757,10.8779339785786,0.998,8,8,2,2,1,1,1,1,12,22.2222222222222,"4"
"35","1710513","Calumet Park",8.87724243599392,9.9145023948492,10.8722948303205,1,4,4,2,2,1,1,1,1,8,11.1111111111111,"4"
"36","1710906","Campton Hills",9.25607826365004,10.7874452429302,12.1175146185484,0,5,5,6,6,10,10,10,10,31,75,"1"
"37","1711332","Carol Stream",10.5940062817424,10.8119738206758,11.4652257060928,0.062,9,9,6,6,6,6,10,10,31,75,"1"
"38","1711358","Carpentersville",10.543761243489,10.2360338997285,11.1998708821833,0.126,9,9,3,3,4,4,9,9,25,58.3333333333333,"2"
"39","1711592","Cary",9.79361688140042,10.5209680964485,11.5800232085027,0,7,7,4,4,7,7,10,10,28,66.6666666666667,"1"
"40","1712476","Channahon",9.52471305968101,10.5172950719448,11.5632002408439,0,6,6,4,4,7,7,10,10,27,63.8888888888889,"2"
"41","1714000","Chicago",14.8242415371415,10.6156498572302,11.0940863218166,0.589,10,10,5,5,3,3,5,5,23,52.7777777777778,"2"
"42","1714026","Chicago Heights",10.2342291144484,9.87326910474109,10.912722030053,0.793,8,8,2,2,2,2,3,3,15,30.5555555555556,"4"
"43","1714065","Chicago Ridge",9.5758858560831,10.6226950287588,10.9418897168052,1,6,6,5,5,2,2,1,1,14,27.7777777777778,"4"
"44","1714351","Cicero",11.3492882633804,9.73715762921197,10.9756360777184,0.937,10,10,1,1,2,2,1,1,14,27.7777777777778,"4"
"45","1714572","Clarendon Hills",9.07188257882862,11.2560102722951,11.5840826592866,0.111,5,5,8,8,7,7,9,9,29,69.4444444444444,"1"
"46","1715170","Coal City",8.56369502506766,10.0665363354321,11.2597865161206,0,3,3,2,2,4,4,10,10,19,41.6666666666667,"3"
"47","1716691","Country Club Hills",9.72591470276438,9.80730781258117,11.0804179857502,0.733,7,7,1,1,3,3,3,3,14,27.7777777777778,"4"
"48","1716873","Countryside",8.75683981482946,11.947185967627,11.2219044912529,0.091,4,4,10,10,4,4,10,10,28,66.6666666666667,"1"
"49","1717458","Crest Hill",9.9186224401204,10.3492100775985,11.0536164439899,0.268,7,7,3,3,2,2,8,8,20,44.4444444444444,"3"
"50","1717497","Crestwood",9.29725174396548,11.1746505250641,11.0832803628603,0.14,5,5,8,8,3,3,9,9,25,58.3333333333333,"2"
"51","1717523","Crete",9.03895875522056,10.2438547458844,11.2987168777136,0,5,5,3,3,4,4,10,10,22,50,"2"
"52","1717887","Crystal Lake",10.5986826347134,10.9743859795518,11.4749535717167,0.022,9,9,7,7,6,6,10,10,32,77.7777777777778,"1"
"53","1718628","Darien",10.0027444791335,10.9460144795236,11.55431689733,0,7,7,7,7,7,7,10,10,31,75,"1"
"54","1719083","Deer Park",8.19918935907807,11.6202245201816,12.0174814757226,0,3,3,9,9,10,10,10,10,32,77.7777777777778,"1"
"55","1718992","Deerfield",9.86412282901385,11.476337605012,12.0350945081966,0,7,7,9,9,10,10,10,10,36,88.8888888888889,"1"
"56","1719642","Des Plaines",11.0089595925519,10.9427682737997,11.2829209308492,0.493,9,9,7,7,4,4,6,6,26,61.1111111111111,"2"
"57","1719837","Diamond",7.92479591395644,9.90510961783178,10.9659543945679,0,2,2,2,2,2,2,10,10,16,33.3333333333333,"4"
"58","1720149","Dixmoor",8.01829613851552,9.82258018151347,10.7451840401993,1,2,2,1,1,1,1,1,1,5,2.77777777777778,"4"
"59","1720292","Dolton",9.97989288373853,9.67314063631129,10.878933592019,0.925,7,7,1,1,1,1,1,1,10,16.6666666666667,"4"
"60","1720591","Downers Grove",10.8239495724791,11.2472793521651,11.5637801631885,0.026,9,9,8,8,7,7,10,10,34,83.3333333333333,"1"
"61","1721696","East Dundee",8.04462627976734,11.3248355069362,11.1815701147285,0,2,2,8,8,3,3,10,10,23,52.7777777777778,"2"
"62","1721904","East Hazel Crest",7.18992217074581,9.93391105425519,10.8419506506754,0.739,1,1,2,2,1,1,3,3,7,8.33333333333333,"4"
"63","1722931","Elburn",8.69634305704456,10.818046312247,11.5116947078994,0,4,4,6,6,7,7,10,10,27,63.8888888888889,"2"
"64","1723074","Elgin",11.6453212129945,10.5444017574604,11.2867397910898,0.427,10,10,4,4,4,4,6,6,24,55.5555555555556,"2"
"65","1723256","Elk Grove Village",10.3970551088658,11.5454989064354,11.3984905680367,0.149,8,8,9,9,5,5,9,9,31,75,"1"
"66","1723620","Elmhurst",10.7289998208514,11.3553542173567,11.7625551415203,0,9,9,9,9,9,9,10,10,37,91.6666666666667,"1"
"67","1723724","Elmwood Park",10.1071220334621,10.2460132242993,11.1394385600884,0.617,8,8,3,3,3,3,4,4,18,38.8888888888889,"3"
"68","1723945","Elwood",7.82404601085629,10.426352974183,11.2429392269208,0,2,2,4,4,4,4,10,10,20,44.4444444444444,"3"
"69","1724582","Evanston",11.2702677447517,10.9351074427266,11.3776210729393,0.471,10,10,7,7,5,5,6,6,28,66.6666666666667,"1"
"70","1724634","Evergreen Park",9.89767066721456,10.8578921905027,11.3542579328404,0,7,7,6,6,5,5,10,10,28,66.6666666666667,"1"
"71","1726571","Flossmoor",9.19705247764925,10.3704599118167,11.7447115616658,0,5,5,4,4,9,9,10,10,28,66.6666666666667,"1"
"72","1726710","Ford Heights",7.4489161025442,9.45382469697852,10.5423105343655,1,1,1,1,1,1,1,1,1,4,0,"4"
"73","1726935","Forest Park",9.56780500402916,10.7671702443004,11.195842044547,0,6,6,6,6,3,3,10,10,25,58.3333333333333,"2"
"74","1726987","Forest View",7.16857989726403,11.2741826981081,11.4876076569859,1,1,1,8,8,6,6,1,1,16,33.3333333333333,"4"
"75","1727442","Fox Lake",9.30063800995696,10.9764484263735,11.0700855389953,0.87,5,5,7,7,2,2,2,2,16,33.3333333333333,"4"
"76","1727533","Fox River Grove",8.45744318701046,10.6938238549402,11.6050031531711,0,3,3,5,5,8,8,10,10,26,61.1111111111111,"2"
"77","1727624","Frankfort",9.9054855551988,11.2344693383565,11.8889274329278,0,7,7,8,8,9,9,10,10,34,83.3333333333333,"1"
